Date,n,P,score_window
2022-02-10,18,0.18,233.85475000000588
2022-02-11,22,0.18,222.3093181818149
2022-02-14,16,0.3,204.3641145833244
2022-02-15,22,0.26,231.28021969696783
2022-02-16,16,0.3,344.1089583333269
2022-02-17,16,0.3,274.570052083327
2022-02-18,26,0.28,208.86998717948154
2022-02-21,18,0.18,160.98549999999886
2022-02-22,30,0.28,90.77199999999357
2022-02-23,30,0.18,162.2045499999913
2022-02-24,18,0.16,153.93966666666165
2022-02-25,16,0.3,388.9497916666678
2022-02-28,18,0.16,376.8379999999961
2022-03-02,18,0.16,489.23799999999756
2022-03-03,18,0.16,457.1379999999954
2022-03-04,30,0.18,507.7087833333244
2022-03-08,30,0.18,236.91513333332296
2022-03-09,16,0.3,523.3929687500022
2022-03-10,30,0.28,546.5289000000012
2022-03-11,18,0.28,914.3593333333338
2022-03-14,18,0.28,914.3593333333338
2022-03-15,12,0.26,1008.8741666666647
2022-03-16,12,0.26,1133.3875416666633
2022-03-17,14,0.28,1132.3351666666604
2022-03-21,12,0.26,1000.2706666666636
2022-03-22,12,0.26,1035.170666666665
2022-03-23,12,0.26,1144.5390416666633
2022-03-24,12,0.26,1127.847374999994
2022-03-25,12,0.26,1166.3807083333268
2022-03-28,14,0.28,1024.1163333333243
2022-03-29,14,0.28,1022.9746666666542
2022-03-30,14,0.28,918.0236666666551
2022-03-31,14,0.28,1016.7236666666558
2022-04-01,18,0.3,1008.942916666656
2022-04-04,18,0.3,1119.245416666654
2022-04-05,28,0.3,981.5401488095158
2022-04-06,28,0.3,981.5401488095158
2022-04-07,28,0.3,672.423482142849
2022-04-08,28,0.3,545.8131249999915
2022-04-11,26,0.26,326.94608333333235
2022-04-12,26,0.26,326.94608333333235
2022-04-13,18,0.3,255.21958333332805
2022-04-18,16,0.1,157.7882812500029
2022-04-19,16,0.1,185.3585937500029
2022-04-20,20,0.26,167.6186333333426
2022-04-21,16,0.1,151.05968750000466
2022-04-22,12,0.1,148.0299999999952
2022-04-25,12,0.1,129.32166666666308
2022-04-26,20,0.26,114.43797500001165
2022-04-27,20,0.26,114.43797500001165
2022-04-28,12,0.1,254.60020833333692
2022-04-29,12,0.1,283.23708333333707
2022-05-02,20,0.1,346.07883333334394
2022-05-04,20,0.1,437.7621666666746
2022-05-05,20,0.1,431.7929166666763
2022-05-06,20,0.1,251.49966666667387
2022-05-09,20,0.1,290.4746666666724
2022-05-10,20,0.1,406.57466666667096
2022-05-11,16,0.1,364.68057291667355
2022-05-12,20,0.26,410.85981666667067
2022-05-13,16,0.1,405.9641666666721
2022-05-16,20,0.26,467.22301666667045
2022-05-17,20,0.26,466.2480166666646
2022-05-18,20,0.26,641.387291666666
2022-05-19,20,0.26,565.0220166666659
2022-05-20,18,0.26,556.5692499999968
2022-05-23,18,0.26,535.6912499999944
2022-05-24,18,0.26,535.6912499999944
2022-05-25,18,0.26,535.6912499999944
2022-05-26,12,0.24,604.2596666666614
2022-05-27,14,0.16,557.2108095238018
2022-05-30,14,0.16,512.6810952380893
2022-05-31,14,0.16,501.4560952380907
2022-06-01,14,0.16,394.8144285714243
2022-06-02,14,0.16,283.44985714285394
2022-06-03,14,0.16,481.80128571428395
2022-06-06,14,0.16,590.2096190476204
2022-06-07,14,0.16,497.40961904762116
2022-06-08,14,0.16,443.3596190476219
2022-06-09,14,0.16,296.7114761904795
2022-06-10,14,0.16,237.52038095238822
2022-06-13,14,0.16,208.58666666667523
2022-06-14,14,0.16,124.58666666667523
2022-06-15,14,0.16,109.5540952381034
2022-06-16,14,0.16,109.5540952381034
2022-06-17,14,0.16,54.42866666667396
2022-06-20,14,0.16,-11.128476190468064
2022-06-21,12,0.14,27.839375000014115
2022-06-22,12,0.14,97.86325000001489
2022-06-23,22,0.1,55.32215909092156
2022-06-24,30,0.1,51.69750000000931
2022-06-27,30,0.1,59.44750000000931
2022-06-28,30,0.12,173.4835666666786
2022-06-29,12,0.14,232.7067916666747
2022-06-30,16,0.14,266.2458333333343
2022-07-01,16,0.14,216.07014583333512
2022-07-04,30,0.1,69.93399999999929
2022-07-05,30,0.1,61.384000000000015
2022-07-06,30,0.1,132.86299999999937
2022-07-07,30,0.1,284.59749999999985
2022-07-08,30,0.1,284.18916666666337
2022-07-11,30,0.1,248.94191666666302
2022-07-12,30,0.1,350.7419166666641
2022-07-13,30,0.1,345.12116666666407
2022-07-14,30,0.1,321.571166666663
2022-07-15,30,0.1,306.0644166666625
