Date,n,P,score_window
2022-09-09,30,0.16,91.85000000000582
2022-09-12,30,0.16,94.55000000000655
2022-09-13,30,0.3,67.69999999999345
2022-09-14,16,0.28,77.549999999992
2022-09-15,16,0.28,79.14999999999418
2022-09-16,16,0.28,71.04999999999563
2022-09-19,18,0.28,126.6499999999869
2022-09-20,30,0.1,79.15000000000873
2022-09-21,30,0.1,80.25000000000728
2022-09-22,20,0.16,114.04999999999927
2022-09-23,20,0.16,114.04999999999927
2022-09-26,20,0.16,130.39999999999782
2022-09-27,20,0.16,183.1999999999971
2022-09-28,20,0.16,214.99999999999636
2022-09-29,20,0.16,176.70000000000073
2022-09-30,20,0.16,222.45000000000073
2022-10-03,28,0.14,246.79999999999563
2022-10-04,26,0.14,291.25
2022-10-06,26,0.14,266.2000000000007
2022-10-07,26,0.14,263.34999999999854
2022-10-10,26,0.14,263.34999999999854
2022-10-11,26,0.14,265.1000000000022
2022-10-12,24,0.16,328.1500000000051
2022-10-13,24,0.16,358.20000000000437
2022-10-14,24,0.16,387.3000000000029
2022-10-17,24,0.16,381.5500000000029
2022-10-18,24,0.16,385.15000000000146
2022-10-19,24,0.16,390.5500000000029
2022-10-20,28,0.2,345.05000000000655
2022-10-21,28,0.2,381.35000000000946
2022-10-25,28,0.2,368.450000000008
2022-10-27,28,0.2,332.45000000000437
2022-10-28,12,0.18,300.75
2022-10-31,12,0.18,269.2999999999993
2022-11-01,12,0.18,276.40000000000146
2022-11-02,12,0.12,171.04999999999927
2022-11-03,12,0.12,161.20000000000073
2022-11-04,12,0.12,122.69999999999709
2022-11-07,12,0.12,92.94999999999709
2022-11-09,12,0.12,95.5999999999949
2022-11-10,12,0.12,88.24999999999272
2022-11-11,12,0.12,111.89999999999418
2022-11-14,12,0.1,74.09999999998399
2022-11-15,12,0.1,54.79999999998472
2022-11-16,24,0.3,20.75
2022-11-17,24,0.3,18.399999999997817
2022-11-18,24,0.3,-37.70000000000073
2022-11-21,24,0.3,2.5
2022-11-22,24,0.3,2.5
2022-11-23,24,0.3,-0.4499999999970896
2022-11-24,30,0.28,3.3500000000058208
2022-11-25,30,0.28,53.90000000000509
2022-11-28,26,0.3,104.34999999999854
2022-11-29,22,0.26,94.85000000000218
2022-11-30,26,0.3,73.0
2022-12-01,26,0.3,108.0
2022-12-02,26,0.3,108.0
2022-12-05,30,0.24,93.04999999999927
2022-12-06,28,0.3,53.0
2022-12-07,28,0.3,53.10000000000218
2022-12-08,30,0.24,45.64999999999782
2022-12-09,30,0.24,45.64999999999782
2022-12-12,12,0.3,90.1500000000051
2022-12-13,30,0.24,95.05000000000291
2022-12-14,28,0.24,128.450000000008
2022-12-15,28,0.24,128.450000000008
2022-12-16,28,0.24,160.55000000000655
2022-12-19,20,0.24,126.6500000000051
2022-12-20,20,0.24,167.45000000000437
2022-12-21,22,0.3,152.10000000000218
2022-12-22,22,0.3,146.75
2022-12-23,18,0.3,145.35000000000582
2022-12-26,12,0.3,189.6500000000051
2022-12-27,12,0.3,279.1000000000058
2022-12-28,12,0.3,279.1000000000058
2022-12-29,12,0.3,244.10000000000582
2022-12-30,12,0.3,297.5000000000073
2023-01-02,12,0.3,342.6000000000058
2023-01-03,12,0.28,347.15000000000873
2023-01-04,12,0.28,347.15000000000873
2023-01-05,12,0.28,420.55000000000655
2023-01-06,16,0.3,476.3500000000058
2023-01-09,16,0.3,490.30000000000655
2023-01-10,12,0.3,488.3000000000102
2023-01-11,12,0.3,541.7500000000109
2023-01-12,12,0.3,541.7500000000109
2023-01-13,12,0.3,560.6000000000131
2023-01-16,12,0.3,615.0500000000138
2023-01-17,12,0.3,522.3500000000095
2023-01-18,12,0.3,523.950000000008
2023-01-19,12,0.3,533.6000000000058
2023-01-20,12,0.3,483.8500000000058
2023-01-23,16,0.2,434.9000000000051
2023-01-24,16,0.2,403.9000000000051
2023-01-25,16,0.2,397.05000000000655
2023-01-27,16,0.2,430.200000000008
2023-01-30,16,0.2,427.8500000000058
2023-01-31,16,0.2,432.80000000000655
2023-02-01,16,0.2,432.75000000000364
2023-02-02,12,0.16,392.0499999999993
2023-02-03,12,0.16,353.0499999999993
2023-02-06,22,0.16,314.95000000000437
2023-02-07,22,0.16,285.3500000000022
2023-02-08,22,0.16,283.20000000000437
2023-02-09,22,0.16,245.8000000000029
2023-02-10,22,0.16,245.8000000000029
2023-02-13,22,0.16,216.8000000000029
2023-02-14,22,0.16,215.5
2023-02-15,22,0.16,217.50000000000364
2023-02-16,22,0.16,227.85000000000218
2023-02-17,22,0.16,199.3000000000029
2023-02-20,22,0.16,199.3000000000029
2023-02-21,22,0.16,231.8000000000029
2023-02-22,22,0.16,218.0500000000029
2023-02-23,22,0.16,247.80000000000655
2023-02-24,22,0.16,221.1500000000051
2023-02-27,22,0.16,225.70000000000437
2023-02-28,22,0.16,134.50000000000364
2023-03-01,22,0.16,165.35000000000218
2023-03-02,24,0.2,287.09999999999854
2023-03-03,22,0.2,289.25
2023-03-06,22,0.2,291.5499999999993
2023-03-08,22,0.2,291.5499999999993
2023-03-09,22,0.22,257.84999999999854
2023-03-10,20,0.22,311.0499999999993
2023-03-13,20,0.22,311.0499999999993
2023-03-14,28,0.22,348.0
2023-03-15,28,0.22,409.49999999999636
2023-03-16,12,0.26,363.7000000000007
2023-03-17,14,0.3,314.049999999992
2023-03-20,14,0.3,314.59999999999127
2023-03-21,28,0.22,293.9499999999971
2023-03-22,28,0.24,275.7999999999993
2023-03-23,28,0.24,275.7999999999993
2023-03-24,28,0.24,232.6999999999971
2023-03-27,28,0.24,225.24999999999636
2023-03-28,14,0.3,68.5999999999949
2023-03-29,26,0.14,181.79999999999563
2023-03-31,26,0.14,176.04999999999927
2023-04-03,26,0.14,201.29999999999927
2023-04-05,26,0.14,191.25
2023-04-06,24,0.14,187.5
2023-04-10,24,0.14,209.04999999999927
2023-04-11,24,0.14,132.10000000000218
2023-04-12,22,0.14,112.0
2023-04-13,22,0.14,126.20000000000073
2023-04-17,22,0.14,42.650000000001455
2023-04-18,22,0.18,-26.900000000005093
2023-04-19,20,0.18,-8.150000000005093
2023-04-20,16,0.2,34.49999999999636
2023-04-21,16,0.2,26.64999999999418
2023-04-24,16,0.2,16.09999999999127
2023-04-25,16,0.2,21.199999999989814
