Date,n,P,score_window
2024-04-25,14,0.2,418.3066666666673
2024-04-26,14,0.2,328.25928571428085
2024-04-29,12,0.1,337.9395833333365
2024-04-30,14,0.2,381.228095238097
2024-05-02,12,0.1,333.6033333333362
2024-05-03,16,0.16,316.74400000000605
2024-05-06,16,0.16,354.9940000000024
2024-05-07,20,0.16,385.26640000000043
2024-05-08,20,0.16,439.99386666666396
2024-05-09,20,0.16,438.97719999999026
2024-05-10,20,0.16,438.61679999998887
2024-05-13,20,0.16,360.8501333333188
2024-05-14,28,0.1,395.76148809522783
2024-05-15,26,0.1,397.16589743589066
2024-05-16,26,0.1,295.5403205128132
2024-05-17,26,0.1,315.8132051281973
2024-05-21,26,0.1,320.699038461531
2024-05-22,26,0.1,180.7716025640948
2024-05-23,26,0.1,176.22160256409552
2024-05-24,26,0.1,197.68967948717182
2024-05-27,26,0.1,258.38967948717254
2024-05-28,26,0.1,274.9792307692296
2024-05-29,26,0.1,286.36544871794104
2024-05-30,26,0.1,289.48737179486125
2024-05-31,26,0.1,291.57621794870647
2024-06-03,26,0.1,359.1360256410153
2024-06-04,26,0.1,320.88602564101893
2024-06-05,26,0.1,323.6027564102478
2024-06-06,26,0.1,332.76314102563265
2024-06-07,26,0.1,369.7455769230728
2024-06-10,26,0.1,380.8986538461504
2024-06-11,28,0.1,430.11166666666395
2024-06-12,12,0.1,442.68999999999505
2024-06-13,28,0.1,451.9647023809521
2024-06-14,28,0.1,431.5918452380938
2024-06-18,12,0.3,417.4500000000007
2024-06-19,12,0.3,417.4500000000007
2024-06-20,12,0.3,417.4500000000007
2024-06-21,12,0.3,417.4500000000007
2024-06-24,28,0.1,247.94273809523293
2024-06-25,28,0.1,263.77607142855777
2024-06-26,28,0.1,270.6580357142702
2024-06-27,12,0.3,332.2558333333218
2024-06-28,12,0.3,386.1845833333209
2024-07-01,12,0.3,310.32708333332266
2024-07-02,12,0.3,327.37708333332193
2024-07-03,12,0.3,327.37708333332193
2024-07-04,12,0.3,262.68083333332106
2024-07-05,28,0.1,167.22452380950926
2024-07-08,12,0.28,146.09749999999258
2024-07-09,28,0.1,88.11613095237044
2024-07-10,28,0.1,42.49339285713722
2024-07-11,24,0.22,154.47437499998705
2024-07-12,24,0.22,197.16224999998667
2024-07-15,24,0.22,140.01224999998885
2024-07-16,24,0.22,140.01224999998885
2024-07-18,24,0.22,140.01224999998885
2024-07-19,18,0.16,234.41088888888407
2024-07-22,18,0.16,263.4455555555505
2024-07-23,30,0.3,305.3004999999939
2024-07-24,30,0.3,397.58816666666826
2024-07-25,30,0.3,264.77983333333395
2024-07-26,30,0.3,290.6798333333354
2024-07-29,30,0.3,264.4243333333361
2024-07-30,30,0.3,322.30766666666386
2024-07-31,26,0.16,269.33743589743244
2024-08-01,16,0.16,276.24016666666284
2024-08-02,16,0.16,294.84849999998914
2024-08-05,16,0.16,294.84849999998914
2024-08-06,16,0.16,349.79499999998734
2024-08-07,16,0.16,388.565999999988
2024-08-08,26,0.16,365.6076153846043
2024-08-09,30,0.3,304.96316666666826
2024-08-12,30,0.3,304.96316666666826
2024-08-13,30,0.26,397.2297666666527
2024-08-14,30,0.26,454.2175666666517
2024-08-16,30,0.26,454.2175666666517
2024-08-19,30,0.26,465.0060666666541
2024-08-20,14,0.16,452.9583333333321
2024-08-21,14,0.16,397.7666666666664
2024-08-22,14,0.16,395.3409523809496
2024-08-23,14,0.16,481.5492857142817
2024-08-26,14,0.16,395.99928571428245
2024-08-27,14,0.16,392.4318571428521
2024-08-28,14,0.16,313.0985238095236
2024-08-29,12,0.22,265.47058333332825
2024-08-30,14,0.18,280.7947380952355
2024-09-02,14,0.18,280.7947380952355
2024-09-03,14,0.18,288.6114047619012
2024-09-04,14,0.18,247.70097619047374
2024-09-05,14,0.18,301.2837142857097
2024-09-06,14,0.18,275.3170476190462
2024-09-09,12,0.14,355.97016666667696
2024-09-10,12,0.14,347.6785000000127
2024-09-11,12,0.14,320.32166666668127
2024-09-12,12,0.14,309.19925000001604
2024-09-13,12,0.14,291.72425000001385
2024-09-16,12,0.14,219.40758333334816
2024-09-17,12,0.14,173.64091666667446
2024-09-18,12,0.14,195.84091666667518
2024-09-19,12,0.14,190.53200000000652
2024-09-20,12,0.14,241.30700000000797
2024-09-23,12,0.14,270.2028333333401
2024-09-24,12,0.14,247.57491666667192
2024-09-25,12,0.14,279.2439166666736
2024-09-26,24,0.16,312.35433333333276
2024-09-27,22,0.18,340.2787272727328
2024-09-30,22,0.18,340.2787272727328
2024-10-01,22,0.18,373.50122727273265
2024-10-03,22,0.18,373.50122727273265
2024-10-04,22,0.18,309.83819696970386
2024-10-07,12,0.3,324.7387500000041
2024-10-08,12,0.3,364.56750000000466
2024-10-09,12,0.3,404.45916666666744
2024-10-10,22,0.18,387.33778787879055
2024-10-11,22,0.18,359.2109242424267
2024-10-14,22,0.18,330.10224242424374
2024-10-15,16,0.16,358.40183333332607
2024-10-16,16,0.16,397.7973333333248
2024-10-17,16,0.12,278.192416666654
2024-10-18,16,0.3,377.9031249999971
2024-10-21,16,0.3,356.94479166666497
2024-10-22,16,0.12,289.496458333324
2024-10-23,16,0.12,320.7029583333242
2024-10-24,16,0.12,268.51999999999316
2024-10-25,16,0.3,280.4636458333298
